issue_num,issue_title,option_num,option_text,Civil Rights,Economy,Political Freedom,Wealth Gaps,Death Rate,Compassion,Eco-Friendliness,Social Conservatism,Nudity,Industry: Automobile Manufacturing,Industry: Cheese Exports,Industry: Basket Weaving,Industry: Information Technology,Industry: Pizza Delivery,Industry: Trout Fishing,Industry: Arms Manufacturing,Sector: Agriculture,Industry: Beverage Sales,Industry: Timber Woodchipping,Industry: Mining,Industry: Insurance,Industry: Furniture Restoration,Industry: Retail,Industry: Book Publishing,Industry: Gambling,Sector: Manufacturing,Government Size,Welfare,Public Healthcare,Law Enforcement,Business Subsidization,Religiousness,Income Equality,Niceness,Rudeness,Intelligence,Ignorance,Political Apathy,Health,Cheerfulness,Weather,Compliance,Safety,Lifespan,Ideological Radicality,Defense Forces,Pacifism,Economic Freedom,Taxation,Freedom From Taxation,Corruption,Integrity,Authoritarianism,Employment,Public Transport,Tourism,Weaponization,Recreational Drug Use,Obesity,Secularism,Environmental Beauty,Charmlessness,Averageness,Human Development Index,Primitiveness,Scientific Advancement,Inclusiveness,Average Income,Average Income of Poor,Average Income of Rich,Public Education,Crime,Foreign Aid,Average Disposable Income,Patriotism,Food Quality,Accessibility,Youth Rebelliousness,Culture,policy_adds,policy_removes,policy_sometimes_adds,policy_sometimes_removes,notability_adds,notability_removes,notability_sometimes_adds,notability_sometimes_removes
0,#0 Should Democracy Be Compulsory?,1,1. voting is voluntary,-0.0021,0.0026,2.706,-0.0006,-0.009,0.0006,0.0054,0.0017,0.3789,0.347,-0.3417,-0.1523,-0.3849,0.1554,-1.1107,0.187,0.0253,0.6851,0.8132,0.3645,0.0888,0.2873,0.4351,0.4978,-7.4571,0.3808,-0.0,0.1539,0.0546,-0.0522,-0.0556,0.0292,-0.0019,0.0002,1.4692,0.5388,-0.6488,1.7293,-0.0003,-0.0002,-0.0112,0.0741,1.0376,0.0049,-0.269,0.043,0.1175,0.0002,0.0026,-0.0028,-1.0179,0.1273,-78.8867,0.002,0.0638,4.2602,-0.0028,0.3365,0.0014,0.0006,-0.1434,-0.2337,0.269,0.0017,0.0016,-0.0004,-0.0008,-6.0426,-1.1072,-21.4275,0.2401,-0.0535,0.035,-5.6237,-1.2832,-0.0033,-0.0025,,,,,,,,,punitive income tax rates,
0,#0 Should Democracy Be Compulsory?,2,2. voting is compulsory,-0.0014,-0.001,-3.2562,-0.0009,0.0176,0.0007,0.0437,-0.0001,0.0269,-0.5689,-0.1916,-0.2259,-0.0809,-0.4811,-0.4737,-1.5845,-0.2291,-0.6745,-0.1394,0.1302,0.6843,-0.0957,-0.0044,0.1033,11.5061,-2.3792,0.0001,-0.0242,0.0802,0.0109,0.0613,-0.0212,0.0007,0.0004,-2.0016,-0.7413,0.8213,-1.3778,0.0023,,0.004,-0.1151,-1.6104,-0.0074,-1.228,-0.0024,-0.1585,-0.0017,-0.0018,0.0047,0.4132,-0.1496,37.448,0.0015,0.0096,4.0593,0.0047,-0.2194,-0.0013,0.0032,0.0014,-0.096,1.228,-0.0028,0.0019,0.0013,0.0038,7.9522,4.5901,10.6776,0.2466,0.0898,0.0156,6.8621,0.8884,0.0005,-0.0067,,,,,,,,,,
0,#0 Should Democracy Be Compulsory?,3,3. elections have been outlawed,0.0014,0.0067,-14.9807,0.0001,0.094,0.0012,0.4879,-0.0002,0.0031,-1.6213,-0.3765,-0.7008,-0.1605,-0.465,-1.0177,0.2986,-0.2483,-0.1205,0.7335,-0.1557,-0.5758,-0.6752,-0.5194,-0.6365,37.4731,-2.0238,0.0004,-0.1043,0.0441,0.2328,0.2443,,-0.008,-0.0013,-9.2804,-2.8539,3.3827,-0.0002,-0.0001,-0.0017,-0.0124,-0.4184,-5.276,-0.0362,2.2656,0.1684,-0.6052,0.0046,-0.0135,0.0218,6.1078,-0.5835,404.1949,-0.003,0.1802,-26.8112,0.0206,-0.0034,-0.0002,,-0.1331,1.7509,-2.2656,-0.0108,-0.0254,0.0624,-0.0003,32.9335,15.5345,67.2058,-0.013,0.3044,0.0083,29.7531,0.0028,0.0013,-0.033,0.0007,0.0007,,Native Representation|Proportional Representation|Term Limits,Autocracy|Sortition,,,daily referendums,,restrictive gun laws
1,#1 Where's the Love Gone?,1,1/2. divorce is illegal,-5.9273,,,,-0.3389,0.0012,0.2038,5.7191,-8.3494,2.603,2.3044,3.0901,2.6985,2.8115,2.7933,-0.3258,1.8807,-98.3472,3.1126,2.9277,60.7763,2.0506,0.1445,2.4735,-48.8562,5.368,-0.0008,1.2573,1.0977,1.1641,0.2703,35.0668,,-0.5,1.4683,-1.1063,1.313,,-0.0003,-0.4681,-0.993,0.5129,1.5852,0.0978,-0.3977,-0.0277,4.0665,,0.0426,-0.0753,,,76.076,-0.0122,0.6356,7.0942,-0.1318,-11.1878,-0.0152,-0.3256,0.0028,-0.7162,0.3977,0.0328,,-0.0069,,-75.2416,-32.1676,-175.893,1.3794,-0.4259,0.1642,-80.5732,0.196,-0.0012,-2.1949,-0.9884,,,,Permanent Marriage,,,,punitive income tax rates|zero percent divorce rate,absence of drug laws
1,#1 Where's the Love Gone?,2,"3. married couples must call each other ""darling"" or risk a fine",-1.6813,0.0115,0.0007,0.0003,-0.0244,-0.0002,0.1587,1.6167,-3.1883,-0.0263,0.0467,0.2871,1.034,-1.0175,0.0621,3.1247,0.4208,0.2189,0.6122,0.8843,0.0664,0.0628,-0.0899,0.109,-4.2885,3.3838,0.001,0.4364,0.3733,0.2488,0.1957,0.1721,-0.0121,-0.0004,-1.4804,-0.3002,0.3969,0.002,0.003,,0.0,0.0492,0.1607,0.0118,-0.1337,1.6205,1.0065,0.0082,0.0025,-0.0051,-0.0,0.0,18.621,0.0009,0.197,1.9265,-0.0282,-2.7298,-0.0013,0.0029,-0.0329,-0.1182,0.1337,0.0062,0.0043,-0.0028,-0.0207,6.4442,2.5138,13.625,0.4516,-0.0419,0.1817,1.5881,0.0544,0.0011,-0.594,,0.0017,,,,,,,restrictive gun laws,absence of drug laws
1,#1 Where's the Love Gone?,3,4. same-sex marriages are increasingly common,2.4975,0.0002,-0.0087,-0.0006,0.0173,0.0022,0.0976,-2.6706,5.3737,2.0596,-0.1608,-0.027,0.0096,-0.3028,-1.1138,0.0009,-0.4046,-0.2816,0.0043,-0.084,-0.2537,0.092,-0.2382,0.0054,7.1231,2.0354,0.0005,0.1718,0.2306,0.2759,0.3749,-0.0004,0.0067,0.0019,-0.0048,0.4826,-0.5438,0.0023,0.0005,0.0002,-0.004,-0.0744,-0.2119,-0.0101,0.4816,0.2058,-1.7554,-0.0005,-0.0004,-0.0014,0.0001,-0.0001,-31.6182,-0.0002,0.123,-5.3988,0.0363,4.9471,-0.0,0.0007,-0.0845,0.1873,-0.4816,-0.0025,-0.0053,0.0145,7.1405,7.3562,8.9057,2.769,0.2406,0.0577,0.0759,4.2682,-0.1035,2.8479,5.5224,,,Marriage Equality,Heterosexuality,,,,avowedly heterosexual populace,absence of drug laws,punitive income tax rates|restrictive gun laws
2,#2 Reclaim the Streets!,1,1. cars are banned,-1.2546,-3.4919,-0.0121,-0.9813,-0.6776,0.0019,265.1683,1.2802,-2.2965,-1454.8752,43.7756,-87.5628,-58.3935,9.2021,320.671,-15.3697,94.3805,-79.4524,-61.076,-70.6932,-74.8217,-55.5609,-60.8666,-78.1116,-81.9558,-1556.855,0.1644,-88.5645,-61.2932,-54.2458,-14.0245,0.0492,3.746,0.0011,-3.1148,-0.2361,0.234,,0.3718,,8.898,0.3678,1.1828,0.1589,0.4267,-61.588,1.3419,-3.6724,0.7522,-2.5114,0.0004,-0.0001,134.2529,-1.142,-42.7153,69.1778,-0.0264,-6.4705,-3.7449,-0.0002,86.6305,-1.6729,-0.4267,-0.6334,23.5382,-23.8139,0.006,-1682.9836,431.241,-8435.1063,-75.0205,-0.2675,-27.0425,-1484.2505,0.0425,0.5582,0.828,,0.0006,No Automobiles,,,,ban on automobiles,clockwork self-driving vehicles|spontaneously combusting cars|unlimited-speed roads,exploding hoverboards|stringent health and safety legislation,"absence of drug laws|barren, inhospitable landscape|deadly medical pandemics|hatred of cheese may add or remove notability: punitive income tax rates may add or remove notability: restrictive gun laws"
2,#2 Reclaim the Streets!,2,2. bicyclists are banned from major roads,-0.0092,0.0032,-1.681,0.001,-0.0618,-0.0019,-1.8713,0.0108,-0.0252,688.4457,-51.8051,-2.8331,-6.1429,-68.1489,-200.2495,-9.0008,-86.5039,-1.4669,-4.6842,-7.4695,-3.0222,-3.3561,-4.5202,-3.2826,-58.4353,675.6273,0.126,-2.1798,-3.3489,230.3891,-4.1931,0.0683,-0.005,-0.002,-1.0939,-0.3863,0.4301,,0.0015,,-1.967,0.5194,2.6919,0.0169,-0.0995,-5.459,0.7988,0.0033,0.4198,-0.9986,0.5284,-0.0696,40.3145,0.0591,-2.1187,-2.8275,-0.0202,-0.4787,0.0824,0.0,-25.0569,0.005,0.0995,0.0066,0.0007,-0.0004,0.0062,71.1002,35.9833,182.4128,-3.9906,-0.3885,-0.8272,-173.6106,-0.0015,-0.3356,-0.9942,,0.0006,,,No Dissent may add or remove policy: Public Protest,,,,"barren, inhospitable landscape|hatred of cheese may add or remove notability: punitive income tax rates",
2,#2 Reclaim the Streets!,3,3. the automotive industry soaks up huge government handouts,-0.0108,1.8939,-0.0021,-0.0037,-0.2132,0.0013,6.5099,0.0139,-0.0315,1293.6509,-99.265,45.8297,47.9224,-33.4741,-439.6233,47.2618,-163.7634,23.1052,33.983,37.6158,37.1328,32.0372,34.5508,43.1905,34.917,1385.4555,0.1191,24.4114,19.9756,22.7678,230.266,-0.0653,-0.0015,0.0011,-0.0018,-0.0006,-0.0004,-0.0002,0.0018,,-5.9235,0.0009,0.0206,0.1305,-0.006,26.731,0.0511,-0.0004,0.5283,-1.1331,-0.0002,-0.0001,-0.0243,0.0475,11.9396,-44.5127,-0.0013,-0.3023,0.2155,0.0005,-73.2935,2.5328,0.006,0.5521,-0.0032,0.0034,0.0008,810.8258,379.4228,2028.0832,26.2661,-0.0007,5.3465,319.733,0.0012,-0.9845,-1.3764,,0.001,,,,,,,"absence of drug laws|barren, inhospitable landscape|hatred of cheese may add or remove notability: punitive income tax rates",
3,#3 Harry Potter Censorship Row,1,1/2. Harry Potter books are banned,-2.9309,0.0152,-0.0105,0.0018,-0.0329,-0.0004,3.6971,2.8323,-5.7956,11.5529,11.4296,15.6449,20.1304,68.2071,14.4195,32.4284,12.1925,8.4511,17.0581,23.5005,12.0129,14.1613,16.1682,-823.1323,16.2343,59.6211,0.0434,6.3533,8.5789,13.9474,7.976,9.0129,-0.0164,-0.0009,0.0039,-1.376,1.5996,-0.0004,-0.0003,-0.0003,-0.039,-0.0257,-0.013,0.013,0.0585,13.6509,1.7082,0.0134,0.4473,-0.9264,0.0047,-0.0005,54.6615,-0.1384,5.0774,-1.0337,-0.0481,-5.1707,0.0148,-0.1038,-0.5823,-0.0025,-0.0585,-0.0728,0.5355,-0.541,-0.0054,-299.6267,-133.0515,-706.4076,-67.0132,0.0054,1.898,-474.0135,0.0968,-0.037,-1.231,,0.0006,,,,,,,complete lack of public education may add or remove notability: punitive income tax rates|restrictive gun laws,absence of drug laws
